Cycle_Desc,Post_Date,Eff_Gas_Day,Cap_Type_Desc,Post_Time,Eff_Time,Loc,Loc_Name,Loc_Zn,Flow_Ind_Desc,Loc_Purp_Desc,Loc_QTI_Desc,Meas_Basis_Desc,IT,All_Qty_Avail,Total_Design_Capacity,Operating_Capacity,Total_Scheduled_Quantity,Operationally_Available_Capacity,TSP_Name,TSP
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,50021,NORA LATERAL - MAINLINE,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"221,602","221,602",0,"221,602",EAST TENN,007921323
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,50022,NORA LATERAL,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"141,755","141,755",0,"141,755",EAST TENN,007921323
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,50075,KINGSPORT LATERAL - MAINLINE,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"63,325","63,325",0,"63,325",EAST TENN,007921323
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,50076,KINGSPORT LATERAL,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"85,364","85,364",0,"85,364",EAST TENN,007921323
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,50091,JEWELL RIDGE,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,Y,Y,"275,863","275,863","150,212","125,651",EAST TENN,007921323
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,50092,MAINLINE JEWELL RIDGE,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"599,536","599,536","150,212","449,324",EAST TENN,007921323
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,53101,EL PASO - RIDGETOP RECEIVING,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"398,090","398,090","50,492","347,598",EAST TENN,007921323
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,53201,EL PASO - LOBELVILLE RECEIVING,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,Y,Y,"253,230","253,230","17,302","235,928",EAST TENN,007921323
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,59001,CHAT EAST,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"50,544","51,926","7,843","44,083",EAST TENN,007921323
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,59002,UCG BRISTOL,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"27,227","27,227","2,846","24,381",EAST TENN,007921323
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,59003,ROANOKE SALEM,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"40,312","42,899",0,"42,899",EAST TENN,007921323
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,59004,ROANOKE CLEARBROOK,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"24,667","26,474","5,000","21,474",EAST TENN,007921323
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,59005,KUB WEST,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"160,111","169,313","11,467","157,846",EAST TENN,007921323
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,59006,ERPUD ESTILL SPRINGS,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"13,143","13,252",0,"13,252",EAST TENN,007921323
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,59007,CHAT NORTH,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"12,011","12,305",0,"12,305",EAST TENN,007921323
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,59008,BOWATERS,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"27,861","28,523",98,"28,425",EAST TENN,007921323
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,59009,EARLY GROVE REC/WD (BI-D 59147),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"28,609","28,609",11,"28,598",EAST TENN,007921323
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,59010,UCG BLACKSBURG,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"25,160","26,598","10,404","16,194",EAST TENN,007921323
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,59011,MTUD RED BANK,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"12,307","12,425","1,462","10,963",EAST TENN,007921323
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,59012,MORGAN COUNTY 1 (BI 59163),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"46,700","46,700",0,"46,700",EAST TENN,007921323
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,59013,UCG PULASKI,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"12,937","13,630",198,"13,432",EAST TENN,007921323
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,59014,ATLANTA,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"119,556","127,808",0,"127,808",EAST TENN,007921323
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,59015,MTUD CARTHAGE,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"12,360","12,360","1,045","11,315",EAST TENN,007921323
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,59016,CHATTANOOGA OOLTEWAH,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"12,695","13,113",0,"13,113",EAST TENN,007921323
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,59017,CHATTANOOGA SIGNAL MOUNTAIN,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"7,647","7,647",0,"7,647",EAST TENN,007921323
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,59019,SOUTH PITTSBURG,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"6,681","6,702",935,"5,767",EAST TENN,007921323
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,59020,ORUD,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"17,442","17,476","2,460","15,016",EAST TENN,007921323
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,59021,DOE C STATION,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"8,729","8,747","1,330","7,417",EAST TENN,007921323
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,59022,UCG RADFORD,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"12,835","13,545","2,997","10,548",EAST TENN,007921323
