Cycle_Desc,Post_Date,Eff_Gas_Day,Cap_Type_Desc,Post_Time,Eff_Time,Loc,Loc_Name,Loc_Zn,Flow_Ind_Desc,Loc_Purp_Desc,Loc_QTI_Desc,Meas_Basis_Desc,IT,All_Qty_Avail,Total_Design_Capacity,Operating_Capacity,Total_Scheduled_Quantity,Operationally_Available_Capacity,TSP_Name,TSP
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,G0001,GB-128 AUGER (992100),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"379,070","379,070",0,"379,070",GARDEN BANKS,966981599
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,G0002,GB-783 MAGNOLIA (992103),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"160,404","160,404","1,700","158,704",GARDEN BANKS,966981599
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,G0003,MAGNOLIA REDELIVERY (992110),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"3,709","3,709",0,"3,709",GARDEN BANKS,966981599
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,G0004,GB-128 ENCHILADA 992101,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"568,623","568,623","19,997","548,626",GARDEN BANKS,966981599
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,G0005,ENCHILADA REDELIVERY (992109),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"8,767","8,767",0,"8,767",GARDEN BANKS,966981599
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,G0008,GB-85 BALDPATE (992102),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,Y,Y,"239,016","239,016","10,599","228,417",GARDEN BANKS,966981599
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,G0009,SMI-205 (992112),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,Y,Y,"20,037","20,037",855,"19,182",GARDEN BANKS,966981599
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,G0012,SEA ROBIN (992105),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"471,510","141,440","7,889","133,551",GARDEN BANKS,966981599
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,G0013,KINETICA ENERGY EXPRESS (992108),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,Y,Y,"379,082","441,126","13,058","428,068",GARDEN BANKS,966981599
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,G0014,KINETICA DEEPWATER EXPRESS (992106),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,Y,Y,"159,383","159,383","6,724","152,659",GARDEN BANKS,966981599
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,G0015,TRANSCO (992107),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"379,244","441,316",0,"441,316",GARDEN BANKS,966981599
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,G0025,BALDPATE REDELIVERY,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"8,278","8,624",0,"8,624",GARDEN BANKS,966981599
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,G0026,SMI 128A SALES,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,Y,Y,"5,304","5,304",1,"5,303",GARDEN BANKS,966981599
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,G0027,SMI 128A BUYBACK,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"5,304","5,304",196,"5,108",GARDEN BANKS,966981599

