Cycle_Desc,Post_Date,Eff_Gas_Day,Cap_Type_Desc,Post_Time,Eff_Time,Loc,Loc_Name,Loc_Zn,Flow_Ind_Desc,Loc_Purp_Desc,Loc_QTI_Desc,Meas_Basis_Desc,IT,All_Qty_Avail,Total_Design_Capacity,Operating_Capacity,Total_Scheduled_Quantity,Operationally_Available_Capacity,TSP_Name,TSP
INTRDY_2025-10-11_0901,10-11-2025,10-10-2025,Operational Capacity,09:01,09:00,83001,"CPGT - DELHI (42"" - CENTER POINT P/L).",,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"1,017,500","1,017,500","344,011","673,489",SESH,808264746
INTRDY_2025-10-11_0901,10-11-2025,10-10-2025,Operational Capacity,09:01,09:00,83002,"CPGT - Delhi (24"" - Center Point P/L)",,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"385,320","385,320","141,160","244,160",SESH,808264746
INTRDY_2025-10-11_0901,10-11-2025,10-10-2025,Operational Capacity,09:01,09:00,83003,Gulf South - Delhi,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"859,696","859,696",35,"859,661",SESH,808264746
INTRDY_2025-10-11_0901,10-11-2025,10-10-2025,Operational Capacity,09:01,09:00,83004,Columbia Gulf - Delhi (Del - 83104),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"1,014,000","1,014,000",0,"1,014,000",SESH,808264746
INTRDY_2025-10-11_0901,10-11-2025,10-10-2025,Operational Capacity,09:01,09:00,83005,SESH FROM TE AT 73583,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,Y,Y,"507,000","507,000","56,767","450,233",SESH,808264746
INTRDY_2025-10-11_0901,10-11-2025,10-10-2025,Operational Capacity,09:01,09:00,83006,Sonat - Gwenville (Del- 83106),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"514,000","514,000",0,"514,000",SESH,808264746
INTRDY_2025-10-11_0901,10-11-2025,10-10-2025,Operational Capacity,09:01,09:00,83007,Transco Collins (Del - 83107),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"507,000","507,000",0,"507,000",SESH,808264746
INTRDY_2025-10-11_0901,10-11-2025,10-10-2025,Operational Capacity,09:01,09:00,83008,TGP (Del - 83108),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"507,000","507,000",0,"507,000",SESH,808264746
INTRDY_2025-10-11_0901,10-11-2025,10-10-2025,Operational Capacity,09:01,09:00,83009,SG Resources Mississippi L.L.C. (Del - 83109),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"428,090","480,713",0,"480,713",SESH,808264746
INTRDY_2025-10-11_0901,10-11-2025,10-10-2025,Operational Capacity,09:01,09:00,83010,FGT - Lucedale (Del - 83110,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"1,014,000","1,014,000",0,"1,014,000",SESH,808264746
