Cycle_Desc,Post_Date,Eff_Gas_Day,Cap_Type_Desc,Post_Time,Eff_Time,Loc,Loc_Name,Loc_Zn,Flow_Ind_Desc,Loc_Purp_Desc,Loc_QTI_Desc,Meas_Basis_Desc,IT,All_Qty_Avail,Total_Design_Capacity,Operating_Capacity,Total_Scheduled_Quantity,Operationally_Available_Capacity,TSP_Name,TSP
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70004,"Dominion Energy Transmission, Inc - Clarington, OH",2,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"585,284","590,644",0,"590,644",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70011,"Columbia Gas of  PA.  - Eagle, PA",3,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"291,789","444,405","12,668","431,737",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70018,"Indiana Gas - Seymour, IN",2,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"16,607","18,422",205,"18,217",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70020,"Equitrans - Waynesburg, PA",2,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"4,932","5,402",0,"5,402",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70030,"Philadelphia Gas Works - Point Breeze,PA",3,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"198,453","198,453",0,"198,453",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70033,"PECO Energy - Cromby Generation, PA",3,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"103,000","103,000",0,"103,000",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70034,"Philadelphia Gas Works - Levick St., PA",3,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"150,715","159,120","46,295","112,825",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70035,"PECO Energy - Tilghman St. - Chester, PA",3,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"179,942","180,378","3,975","176,403",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70036,"PECO Energy - West Conshohocken, PA",3,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"152,560","166,622","41,349","125,273",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70039,"United Cities - Harrisburg, IL",1,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"13,342","13,978",0,"13,978",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70041,"Columbia Gas - Lebanon, OH",2,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"234,583","239,912","68,421","171,491",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70042,"Union Elec -Cape Girardeau, MO",1,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,Y,Y,"56,992","56,992","7,243","49,749",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70043,"Union Electric - Dexter, MO",1,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"10,692","10,692",0,"10,692",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70051,"PEOPLES NAT - Somerset, PA",2,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,Y,Y,"55,588","55,588","2,500","53,088",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70056,Columbia Gas of  PA. -  (Uniontown),2,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"64,141","65,802","3,000","62,802",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70057,"Public Service - South Plainfield, NJ",3,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"94,494","95,754","20,049","75,705",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70058,"National Grid Metro NY, Goethals Rd., Staten Island, Richmond Co.,",3,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"793,250","793,250","228,467","564,783",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70061,"Atmos Energy Corporation - Scott Co, MO",1,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"47,300","47,300",0,"47,300",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70062,"Nat Gas & Oil - Somerset, OH",2,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"31,922","31,922","12,940","18,982",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70063,"Huntingburg, IN",2,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"8,976","9,001",1,"9,000",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70065,"Texas Gas Transmission - Lisbon, LA  (Delivery)",ETX,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,Y,Y,"368,477","377,573","28,893","348,680",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70066,"Parkway Generation - Sewaren, NJ",3,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"153,348","168,732","11,356","157,376",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70069,"UGI Utilities, Inc. (Columbia Gas)  - Columbia, PA",3,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"14,874","14,965","3,358","11,607",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70070,"UGI Utilities, Inc. (Columbia Gas) -Lancaster, PA",3,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"75,944","76,291","28,123","48,168",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70077,"Columbia Gas - Hooker, OH",2,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"228,380","228,380",0,"228,380",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70079,"Atmos Energy Corporation- Jim Hill, MO",1,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"53,349","55,469","1,609","53,860",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70081,"Columbia Gas - Sabina, OH",2,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"32,654","32,654","4,500","28,154",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70087,"Algonquin - Lambertville, NJ",3,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,Y,Y,"1,171,501","1,171,501","250,575","920,926",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70089,"Consumers Gas Co. - Carmi, IL",1,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"16,804","16,994",323,"16,671",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70090,"Somerset Gas - Casey Co., KY",2,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"6,360","6,903",0,"6,903",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70092,"Norris City, IL",1,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"3,041","3,067",36,"3,031",TX EAST TRAN,007932908
INTRDY_2025-10-11_0900,10-11-2025,10-10-2025,Operational Capacity,09:00,09:00,70093,"Jasper, IN",2,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"9,419","9,483",103,"9,380",TX EAST TRAN,007932908
