GFPipeID,TSP,Loc,Loc Name,Loc St Abbrev,Loc Cnty,Loc Zone,Dir Flo,Loc Stat Ind,Loc Type Ind,Eff Date,Inact Date,TSP Name,TSP FERC CID,Update D/T,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn FERC CID Ind,Up/Dn FERC CID,Up/Dn Loc,Up/Dn Loc Name,Loc Fuel Area,ParentPipe
100,835460478,40111,TARGA LOUISIANA FIELD SERVICES LLC,LA,ACADIA,,D,A,INT,19961007.0,,"Egan Hub Storage, LLC",C000086,20250213 11:20:17,Y,TARGA MIDSTREAM SERVICES LLC,	801475463,,N,,,,,Enbridge
100,835460478,40117,"NRG-BAYOU COVE PEAKING POWER, LLC-ACADIA PSH., LA",LA,ACADIA,,D,A,END,20011103.0,,"Egan Hub Storage, LLC",C000086,20250213 11:20:18,Y,PELICAN POWER LLC,	119183265,,N,,,,,Enbridge
100,835460478,45101,"ANR - STORAGE, LA (D40102/R40101)",LA,ACADIA,,B,A,INT,19961007.0,,"Egan Hub Storage, LLC",C000086,20190725 13:58:10,Y,ANR PIPELINE COMPANY,	006958581,,Y,C000623,	186900/186899,EGAN (RECEIPT) INT/EGAN (DELIVERY) INT,,Enbridge
100,835460478,45103,"COLUMBIA - STORAGE, LA (D40104/R40103)",LA,ACADIA,,B,A,INT,19961007.0,,"Egan Hub Storage, LLC",C000086,20190725 13:58:20,Y,"COLUMBIA GULF TRANSMISSION, LLC",	007854581,,Y,C000307,	4123,EGAN STOR-ACADIA-REC,,Enbridge
100,835460478,45105,"TENN. GAS - STORAGE, LA (D40106/40105)",LA,ACADIA,,B,A,INT,19961007.0,,"Egan Hub Storage, LLC",C000086,20190725 13:58:29,Y,"TENNESSEE GAS PIPELINE COMPANY,  L.L.C.",	001939164,,Y,C000020,	420822,EGAN HUB/TGP EGAN GAS STORAGE ACADI,,Enbridge
100,835460478,45107,"TEXAS GAS - STORAGE, LA (D40108/R40107)",LA,ACADIA,,B,A,INT,19961007.0,,"Egan Hub Storage, LLC",C000086,20190725 13:58:39,Y,"TEXAS GAS TRANSMISSION,LLC",	115972101,,Y,C000592,	9415,EGAN HUB STORAGE,,Enbridge
100,835460478,45109,"TRUNKLINE - STORAGE, LA (D40110/R40109)",LA,ACADIA,,B,A,INT,19961007.0,,"Egan Hub Storage, LLC",C000086,20190725 13:58:48,Y,"TRUNKLINE GAS COMPANY, LLC",	007933062,,Y,C000251,	93072,LA 1 STORAGE FIELD - ACCTG METER,,Enbridge
100,835460478,45113,"FGT-STORAGE, LA (D40114/R40113)",LA,ACADIA,,B,A,INT,20011109.0,,"Egan Hub Storage, LLC",C000086,20190725 13:58:57,Y,"FLORIDA GAS TRANSMISSION COMPANY, LLC",	006924518,,Y,C000255,	78300/78299,EGAN HUB (DEL)/EGAN HUB (REC),,Enbridge
100,835460478,45115,"TEXAS EASTERN - STORAGE, LA (D40116/R40115)",LA,EVANGELINE,,B,A,INT,20011103.0,,"Egan Hub Storage, LLC",C000086,20190725 13:59:07,Y,"TEXAS EASTERN TRANSMISSION, LP",	007932908,,Y,C000094,	75332,EGAN GAS STORAGE (73331 INJ/73332 WD),,Enbridge
100,835460478,45122,KINDER MORGAN (R)INJ 40122/ (D) WTD 40123,LA,EVANGELINE,,B,A,INT,20100701.0,,"Egan Hub Storage, LLC",C000086,20190725 13:59:18,Y,KINDER MORGAN LOUISIANA PIPELINE LLC,	809611911,,Y,C000231,	44403,EGAN HUB/KMLP  ACADIA,,Enbridge
100,835460478,49100,EGAN STORAGE FACILITY,LA,ACADIA,,D,A,STR,19970214.0,,"Egan Hub Storage, LLC",C000086,20240725 09:00:08,N,,	,,N,,,,,Enbridge
101,966981599,	G0001,GB-128 AUGER (992100),OF,GARDEN BANKS,,R,A,GTH,19990928.0,,"Garden Banks Gas Pipeline, LLC",C000511,20250527 18:20:16,Y,"SHELL OFFSHORE, INC.",	082812637,,N,,,,,Enbridge
101,966981599,	G0002,GB-783 MAGNOLIA (992103),OF,GARDEN BANKS,,R,A,GTH,20041025.0,,"Garden Banks Gas Pipeline, LLC",C000511,20250527 18:20:16,Y,"W&T OFFSHORE, INC.",	114284037,,N,,,,,Enbridge
101,966981599,	G0003,MAGNOLIA REDELIVERY (992110),OF,GARDEN BANKS,,D,A,GTH,20041025.0,,"Garden Banks Gas Pipeline, LLC",C000511,20250527 18:20:16,Y,"W&T OFFSHORE, INC.",	114284037,,N,,,,,Enbridge
101,966981599,	G0004,GB-128 ENCHILADA 992101,OF,GARDEN BANKS,,R,A,GTH,19971001.0,,"Garden Banks Gas Pipeline, LLC",C000511,20250527 18:20:16,Y,"SHELL OFFSHORE, INC.",	082812637,,N,,,,,Enbridge
101,966981599,	G0005,ENCHILADA REDELIVERY (992109),OF,GARDEN BANKS,,D,A,GTH,19971001.0,,"Garden Banks Gas Pipeline, LLC",C000511,20250527 18:20:16,Y,"SHELL OFFSHORE, INC.",	082812637,,N,,,,,Enbridge
101,966981599,	G0008,GB-85 BALDPATE (992102),OF,GARDEN BANKS,,R,A,GTH,19991001.0,,"Garden Banks Gas Pipeline, LLC",C000511,20250527 18:20:16,Y,HESS CORPORATION,	006979785,,Y,C001250,	G0008,GB-85 BALDPATE (992102),,Enbridge
101,966981599,	G0009,SMI-205 (992112),OF,SOUTH MARSH IS.,,D,A,GTH,20131201.0,,"Garden Banks Gas Pipeline, LLC",C000511,20251106 17:53:52,Y,POSEIDON OIL PIPELINE COMPANY L.L.C.,	,30643.0,N,,,,,Enbridge
101,966981599,	G0010,SMI-192 (992104),OF,SOUTH MARSH IS.,,R,I,GTH,,20230124.0,"Garden Banks Gas Pipeline, LLC",C000511,20250527 18:20:17,Y,"ARENA OFFSHORE, LP",	131086030,,N,,,,,Enbridge
101,966981599,	G0012,SEA ROBIN (992105),OF,SOUTH MARSH IS.,,D,A,INT,19970416.0,,"Garden Banks Gas Pipeline, LLC",C000511,20250527 18:20:17,Y,SEA ROBIN PIPELINE CO,	045943644,,Y,C000253,	94043,SMI 128 S - GARDEN BANKS GAS PIPELINE,,Enbridge
