EffGasDayTime,CycleDesc,LocPurpDesc,Loc,LocName,LocZn,LocSegment,DesignCapacity,OperatingCapacity,TotalScheduledQuantity,OperationallyAvailableCapacity,IT,FlowInd,AllQtyAvail,QtyReason,Timestamp,TSP
2025-11-15,INTRDY_2025-11-16_0900,Delivery Location,00001,"Partroy (MORRIS,NJ)",,,18022.0,18022.0,5000.0,13022.0,N,D,Y,,2025-11-16T22:20:12.251828,6951446
2025-11-15,INTRDY_2025-11-16_0900,Delivery Location,00002,"Waterbury (NEW HAVEN,CT)",,,208442.0,216006.0,13109.0,202897.0,N,D,Y,,2025-11-16T22:20:12.251828,6951446
2025-11-15,INTRDY_2025-11-16_0900,Delivery Location,00003,North Haven (NEW HAVEN),,,342081.0,342081.0,62074.0,280007.0,N,D,Y,,2025-11-16T22:20:12.251828,6951446
2025-11-15,INTRDY_2025-11-16_0900,Delivery Location,00004,"Rhode Island Energy -DEY ST. (PROVIDENCE,RI)",,,157437.0,157437.0,35839.0,121598.0,N,D,Y,,2025-11-16T22:20:12.251828,6951446
2025-11-15,INTRDY_2025-11-16_0900,Delivery Location,00005,"Willimantic (NEW HAVEN, CT)",,,15880.0,15880.0,4018.0,11862.0,N,D,Y,,2025-11-16T22:20:12.251828,6951446
2025-11-15,INTRDY_2025-11-16_0900,Delivery Location,00006,"Mohegan Park (NEW LONDON,CT)",,,25597.0,26692.0,4020.0,22672.0,N,D,Y,,2025-11-16T22:20:12.251828,6951446
2025-11-15,INTRDY_2025-11-16_0900,Delivery Location,00007,"Waterford (NEW LONDON,CT)",,,60849.0,60849.0,9724.0,51125.0,N,D,Y,,2025-11-16T22:20:12.251828,6951446
2025-11-15,INTRDY_2025-11-16_0900,Delivery Location,00008,"Rhode Island Energy-WESTERLY (WASHINGTON,RI)",,,10265.0,10265.0,4634.0,5631.0,N,D,Y,,2025-11-16T22:20:12.251828,6951446
2025-11-15,INTRDY_2025-11-16_0900,Delivery Location,00009,"Putnam (WINDHAM,CT)",,,31570.0,32187.0,1385.0,30802.0,N,D,Y,,2025-11-16T22:20:12.251828,6951446
2025-11-15,INTRDY_2025-11-16_0900,Delivery Location,00010,"Rhode Island Energy - E. Providence (PROVIDENCE,RI)",,,147347.0,147347.0,11554.0,135793.0,N,D,Y,,2025-11-16T22:20:12.251828,6951446
2025-11-15,INTRDY_2025-11-16_0900,Delivery Location,00011,"Taunton (BRISTOL, MA)",,,67232.0,67232.0,9930.0,57302.0,N,D,Y,,2025-11-16T22:20:12.251828,6951446
2025-11-15,INTRDY_2025-11-16_0900,Delivery Location,00012,"Rhode Island Energy - WARREN (BRISTOL,RI)",,,30409.0,30409.0,10590.0,19819.0,N,D,Y,,2025-11-16T22:20:12.251828,6951446
2025-11-15,INTRDY_2025-11-16_0900,Delivery Location,00013,"Rhode Island Energy- Portsmouth (NEWPORT,RI)",,,87827.0,87827.0,16591.0,71236.0,N,D,Y,,2025-11-16T22:20:12.251828,6951446
2025-11-15,INTRDY_2025-11-16_0900,Delivery Location,00015,"Freetown (BRISTOL,MA)",,,77515.0,77515.0,5946.0,71569.0,N,D,Y,,2025-11-16T22:20:12.251828,6951446
2025-11-15,INTRDY_2025-11-16_0900,Delivery Location,00016,"New England Gas Company Fall River (BRISTOL,MA)",,,116021.0,116021.0,18339.0,97682.0,N,D,Y,,2025-11-16T22:20:12.251828,6951446
2025-11-15,INTRDY_2025-11-16_0900,Delivery Location,00017,"New Bedford (BRISTOL,MA)",,,116072.0,116072.0,11575.0,104497.0,N,D,Y,,2025-11-16T22:20:12.251828,6951446
2025-11-15,INTRDY_2025-11-16_0900,Delivery Location,00018,Bourne Station Relocation (Mainland Bourne),,,116996.0,116996.0,11444.0,105552.0,N,D,Y,,2025-11-16T22:20:12.251828,6951446
2025-11-15,INTRDY_2025-11-16_0900,Delivery Location,00019,"Plymouth (PLYMOUTH,MA)",,,30905.0,30905.0,11906.0,18999.0,N,D,Y,,2025-11-16T22:20:12.251828,6951446
2025-11-15,INTRDY_2025-11-16_0900,Delivery Location,00020,"Milford (WORCESTER,MA)",,,23867.0,23867.0,488.0,23379.0,N,D,Y,,2025-11-16T22:20:12.251828,6951446
2025-11-15,INTRDY_2025-11-16_0900,Delivery Location,00021,"National Grid- NORWOOD (NORFOLK,MA)",,,40089.0,45508.0,3243.0,42265.0,N,D,Y,,2025-11-16T22:20:12.251828,6951446
2025-11-15,INTRDY_2025-11-16_0900,Delivery Location,00022,"Westwood (NORFOLK, MA)",,,93629.0,93629.0,23439.0,70190.0,N,D,Y,,2025-11-16T22:20:12.251828,6951446
2025-11-15,INTRDY_2025-11-16_0900,Delivery Location,00023,"National Grid- EAST BRAINTREE (NORFOLK,MA)",,,107189.0,111671.0,18334.0,93337.0,N,D,Y,,2025-11-16T22:20:12.251828,6951446
2025-11-15,INTRDY_2025-11-16_0900,Delivery Location,00024,"Brockton (PLYMOUTH,MA)",,,390174.0,513937.0,49713.0,464224.0,N,D,Y,,2025-11-16T22:20:12.251828,6951446
2025-11-15,INTRDY_2025-11-16_0900,Delivery Location,00025,"Hopedale (NORFOLK,MA)",,,12377.0,12377.0,803.0,11574.0,N,D,Y,,2025-11-16T22:20:12.251828,6951446
2025-11-15,INTRDY_2025-11-16_0900,Delivery Location,00027,"National Grid- EVERETT (MIDDLESEX,MA)",,,247268.0,247268.0,22716.0,224552.0,N,D,Y,,2025-11-16T22:20:12.251828,6951446
2025-11-15,INTRDY_2025-11-16_0900,Delivery Location,00028,"Brookford ST (MIDDLESEX,MA)",,,66151.0,66151.0,562.0,65589.0,N,D,Y,,2025-11-16T22:20:12.251828,6951446
