GFLOC,LocPurpDesc,Loc,LocName,LocZn,IT,FlowInd,LocSegment,DesignCapacity,OperatingCapacity,TotalScheduledQuantity,OperationallyAvailableCapacity,AllQtyAvail,QtyReason,Timestamp,TSP,EffGasDayTime,CycleDesc
114OA000001D,Delivery Location,00001,"Partroy (MORRIS,NJ)",,N,D,,18022.0,18022.0,8000.0,10022.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000002D,Delivery Location,00002,"Waterbury (NEW HAVEN,CT)",,N,D,,208442.0,216006.0,22403.0,193603.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000003D,Delivery Location,00003,North Haven (NEW HAVEN),,N,D,,342081.0,342081.0,69336.0,272745.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000004D,Delivery Location,00004,"Rhode Island Energy -DEY ST. (PROVIDENCE,RI)",,N,D,,157437.0,157437.0,45115.0,112322.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000005D,Delivery Location,00005,"Willimantic (NEW HAVEN, CT)",,N,D,,15880.0,15880.0,3174.0,12706.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000006D,Delivery Location,00006,"Mohegan Park (NEW LONDON,CT)",,N,D,,25597.0,26692.0,5086.0,21606.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000007D,Delivery Location,00007,"Waterford (NEW LONDON,CT)",,N,D,,60849.0,60849.0,4015.0,56834.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000008D,Delivery Location,00008,"Rhode Island Energy-WESTERLY (WASHINGTON,RI)",,N,D,,10265.0,10265.0,4615.0,5650.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000009D,Delivery Location,00009,"Putnam (WINDHAM,CT)",,N,D,,31570.0,32187.0,1207.0,30980.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000010D,Delivery Location,00010,"Rhode Island Energy - E. Providence (PROVIDENCE,RI)",,N,D,,147347.0,147347.0,17410.0,129937.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000011D,Delivery Location,00011,"Taunton (BRISTOL, MA)",,N,D,,67232.0,67232.0,19765.0,47467.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000012D,Delivery Location,00012,"Rhode Island Energy - WARREN (BRISTOL,RI)",,N,D,,30409.0,30409.0,7235.0,23174.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000013D,Delivery Location,00013,"Rhode Island Energy- Portsmouth (NEWPORT,RI)",,N,D,,87827.0,87827.0,17244.0,70583.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000015D,Delivery Location,00015,"Freetown (BRISTOL,MA)",,N,D,,77515.0,77515.0,494.0,77021.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000016D,Delivery Location,00016,"New England Gas Company Fall River (BRISTOL,MA)",,N,D,,116021.0,116021.0,20209.0,95812.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000017D,Delivery Location,00017,"New Bedford (BRISTOL,MA)",,N,D,,116072.0,116072.0,9318.0,106754.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000018D,Delivery Location,00018,Bourne Station Relocation (Mainland Bourne),,N,D,,116996.0,116996.0,12184.0,104812.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000019D,Delivery Location,00019,"Plymouth (PLYMOUTH,MA)",,N,D,,30905.0,30905.0,9812.0,21093.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000020D,Delivery Location,00020,"Milford (WORCESTER,MA)",,N,D,,23867.0,23867.0,1701.0,22166.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000021D,Delivery Location,00021,"National Grid- NORWOOD (NORFOLK,MA)",,N,D,,40089.0,45508.0,3958.0,41550.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000022D,Delivery Location,00022,"Westwood (NORFOLK, MA)",,N,D,,93629.0,93629.0,6096.0,87533.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000023D,Delivery Location,00023,"National Grid- EAST BRAINTREE (NORFOLK,MA)",,N,D,,107189.0,111671.0,32094.0,79577.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000024D,Delivery Location,00024,"Brockton (PLYMOUTH,MA)",,N,D,,390174.0,513937.0,54183.0,459754.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000025D,Delivery Location,00025,"Hopedale (NORFOLK,MA)",,N,D,,12377.0,12377.0,2799.0,9578.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000027D,Delivery Location,00027,"National Grid- EVERETT (MIDDLESEX,MA)",,N,D,,247268.0,247268.0,34250.0,213018.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000028D,Delivery Location,00028,"Brookford ST (MIDDLESEX,MA)",,N,D,,66151.0,66151.0,2369.0,63782.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000029D,Delivery Location,00029,"Middleboro (PLYMOUTH,MA)",,N,D,,16445.0,17118.0,3075.0,14043.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000030D,Delivery Location,00030,"Guilford (NEW HAVEN,CT)",,N,D,,74622.0,118839.0,517.0,118322.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000031D,Delivery Location,00031,"Kensington New Haven, CT",,N,D,,143915.0,143915.0,20153.0,123762.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
