GFLOC,LocPurpDesc,Loc,LocName,LocZn,IT,FlowInd,LocSegment,DesignCapacity,OperatingCapacity,TotalScheduledQuantity,OperationallyAvailableCapacity,AllQtyAvail,QtyReason,Timestamp,GFPipeID,EffGasDayTime,TSP_Name,PipeCode,CycleDesc
118OA000001D,Delivery Location,1,"Partroy (MORRIS,NJ)",,N,D,,18022.0,18022.0,5500.0,12522.0,Y,,2025-11-27T15:27:42.503097,118,2025-11-26,ALGONQUIN,AG,INTRDY_2025-11-27_0901
118OA000002D,Delivery Location,2,"Waterbury (NEW HAVEN,CT)",,N,D,,208442.0,216006.0,4721.0,211285.0,Y,,2025-11-27T15:27:42.503097,118,2025-11-26,ALGONQUIN,AG,INTRDY_2025-11-27_0901
118OA000003D,Delivery Location,3,North Haven (NEW HAVEN),,N,D,,342081.0,342081.0,63829.0,278252.0,Y,,2025-11-27T15:27:42.503097,118,2025-11-26,ALGONQUIN,AG,INTRDY_2025-11-27_0901
118OA000004D,Delivery Location,4,"Rhode Island Energy -DEY ST. (PROVIDENCE,RI)",,N,D,,157437.0,157437.0,37850.0,119587.0,Y,,2025-11-27T15:27:42.503097,118,2025-11-26,ALGONQUIN,AG,INTRDY_2025-11-27_0901
118OA000005D,Delivery Location,5,"Willimantic (NEW HAVEN, CT)",,N,D,,15880.0,15880.0,2530.0,13350.0,Y,,2025-11-27T15:27:42.503097,118,2025-11-26,ALGONQUIN,AG,INTRDY_2025-11-27_0901
118OA000006D,Delivery Location,6,"Mohegan Park (NEW LONDON,CT)",,N,D,,25597.0,26692.0,6020.0,20672.0,Y,,2025-11-27T15:27:42.503097,118,2025-11-26,ALGONQUIN,AG,INTRDY_2025-11-27_0901
118OA000007D,Delivery Location,7,"Waterford (NEW LONDON,CT)",,N,D,,60849.0,60849.0,2541.0,58308.0,Y,,2025-11-27T15:27:42.503097,118,2025-11-26,ALGONQUIN,AG,INTRDY_2025-11-27_0901
118OA000008D,Delivery Location,8,"Rhode Island Energy-WESTERLY (WASHINGTON,RI)",,N,D,,10265.0,10265.0,4681.0,5584.0,Y,,2025-11-27T15:27:42.503097,118,2025-11-26,ALGONQUIN,AG,INTRDY_2025-11-27_0901
118OA000009D,Delivery Location,9,"Putnam (WINDHAM,CT)",,N,D,,31570.0,32187.0,850.0,31337.0,Y,,2025-11-27T15:27:42.503097,118,2025-11-26,ALGONQUIN,AG,INTRDY_2025-11-27_0901
118OA000010D,Delivery Location,10,"Rhode Island Energy - E. Providence (PROVIDENCE,RI)",,N,D,,147347.0,147347.0,16928.0,130419.0,Y,,2025-11-27T15:27:42.503097,118,2025-11-26,ALGONQUIN,AG,INTRDY_2025-11-27_0901
