Effective_From_DateTime,Effective_End_DateTime,Loc_Prop,Loc_Name,Allocated_Qty,Direction_Of_Flow,Accounting_Physincal_Indicator,Posting_DateTime
11/14/2022 09:00,11/15/2022 08:59,00001,"Partroy (MORRIS,NJ)",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00002,"Waterbury (NEW HAVEN,CT)","5,636",D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00003,North Haven (NEW HAVEN),"26,631",D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00004,"National Grid-DEY ST. (PROVIDENCE,RI)","5,936",D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00005,"Willimantic (NEW HAVEN, CT)",425,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00006,"Mohegan Park (NEW LONDON,CT)",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00007,"Waterford (NEW LONDON,CT)",973,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00008,"National Grid-WESTERLY (WASHINGTON,RI)",834,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00009,"Putnam (WINDHAM,CT)",174,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00010,"National Grid - E. Providence (PROVIDENCE,RI)","21,059",D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00011,"Taunton (BRISTOL, MA)","5,095",D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00012,"National Grid - WARREN (BRISTOL,RI)","1,487",D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00013,"National Grid- Portsmouth (NEWPORT,RI)","3,165",D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00015,"Freetown (BRISTOL,MA)","1,259",D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00016,"New England Gas Company Fall River (BRISTOL,MA)","11,290",D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00017,"New Bedford (BRISTOL,MA)","4,073",D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00018,"National Grid-BOURNE (BARNSTABLE,MA)","9,603",D,P,12/10/2022 06:05
