Effective_From_DateTime,Effective_End_DateTime,Loc_Prop,Loc_Name,Allocated_Qty,Direction_Of_Flow,Accounting_Physincal_Indicator,Posting_DateTime
12/30/2022 09:00,12/31/2022 08:59,70004,"Dominion Energy Transmission, Inc - Clarington, OH",0,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70011,"Columbia Gas of  PA.  - Eagle, PA","22,238",D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70017,"Indiana Gas - Greensburg, IN",0,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70018,"Indiana Gas - Seymour, IN","2,361",D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70020,"Equitrans - Waynesburg, PA",0,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70030,"Philadelphia Gas Works - Point Breeze,PA","23,859",D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70033,"PECO Energy - Cromby Generation, PA","3,694",D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70034,"Philadelphia Gas Works - Levick St., PA","40,894",D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70035,"PECO Energy - Tilghman St. - Chester, PA","12,404",D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70036,"PECO Energy - West Conshohocken, PA","17,558",D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70039,"United Cities - Harrisburg, IL",0,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70041,"Columbia Gas - Lebanon, OH",0,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70042,"Union Elec -Cape Girardeau, MO",50,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70043,"Union Electric - Dexter, MO",8,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70051,"PEOPLES NAT - Somerset, PA",0,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70056,Columbia Gas of  PA. -  (Uniontown),0,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70057,"Public Service - South Plainfield, NJ","1,310",D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70058,"National Grid Metro NY, Goethals Rd., Staten Island, Richmond Co.,",0,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70061,"Atmos Energy Corporation - Scott Co, MO","4,485",D,P,01/10/2023 06:07
