Cycle_Desc,Post_Date,Eff_Gas_Day,Cap_Type_Desc,Post_Time,Eff_Time,Loc,Loc_Name,Loc_Zn,Flow_Ind_Desc,Loc_Purp_Desc,Loc_QTI_Desc,Meas_Basis_Desc,IT,All_Qty_Avail,Total_Design_Capacity,Operating_Capacity,Total_Scheduled_Quantity,Operationally_Available_Capacity,TSP_Name,TSP
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,50021,NORA LATERAL - MAINLINE,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"221,602","221,602",0,"221,602",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,50022,NORA LATERAL,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"141,755","141,755",0,"141,755",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,50075,KINGSPORT LATERAL - MAINLINE,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"63,325","63,325",0,"63,325",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,50076,KINGSPORT LATERAL,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"85,364","85,364",0,"85,364",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,50091,JEWELL RIDGE,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,Y,Y,"275,863","275,863","153,683","122,180",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,50092,MAINLINE JEWELL RIDGE,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"599,536","599,536","159,685","439,851",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,53101,EL PASO - RIDGETOP RECEIVING,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"398,090","398,090","197,072","201,018",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,53201,EL PASO - LOBELVILLE RECEIVING,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"253,230","253,230","79,671","173,559",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59001,CHAT EAST,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"119,150","119,150","10,395","108,755",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59002,UCG BRISTOL,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"27,227","27,227","6,231","20,996",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59003,ROANOKE SALEM,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"44,460","44,460",0,"44,460",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59004,ROANOKE CLEARBROOK,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"44,460","44,460","10,659","33,801",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59005,KUB WEST,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"167,850","167,850","26,363","141,487",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59006,ERPUD ESTILL SPRINGS,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"14,310","14,310","3,944","10,366",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59007,CHAT NORTH,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"22,720","22,720",189,"22,531",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59008,BOWATERS,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"31,565","31,565","5,470","26,095",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59009,EARLY GROVE REC/WD (BI-D 59147),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"28,609","28,609",658,"27,951",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59010,UCG BLACKSBURG,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"25,715","25,715","8,557","17,158",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59011,MTUD RED BANK,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"25,886","26,042","8,031","18,011",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59012,MORGAN COUNTY 1 (BI 59163),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"46,700","46,700",0,"46,700",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59013,UCG PULASKI,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"27,190","27,190","2,576","24,614",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59014,ATLANTA,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"199,690","199,690",0,"199,690",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59015,MTUD CARTHAGE,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"22,561","22,561",0,"22,561",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59016,CHATTANOOGA OOLTEWAH,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"14,522","14,522","1,933","12,589",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59017,CHATTANOOGA SIGNAL MOUNTAIN,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"7,647","7,647","2,757","4,890",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59019,SOUTH PITTSBURG,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"14,310","14,310","3,142","11,168",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59020,ORUD,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"19,016","19,016","1,817","17,199",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59021,DOE C STATION,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"19,016","19,016","5,100","13,916",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59022,UCG RADFORD,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"27,693","29,772","3,450","26,322",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59024,CHATTANOOGA CLEVELAND,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"33,976","33,976","1,719","32,257",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59025,GALLATIN WEST,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"7,189","7,189",0,"7,189",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59026,UCG COLUMBIA WEST,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"7,400","7,400","8,123",0,EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59027,UCG MORRISTOWN,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"19,016","19,016","4,421","14,595",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59028,UCG JOHNSON CITY EAST,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"17,452","17,452","5,431","12,021",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59029,COOKEVILLE,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"26,352","26,352","22,556","3,796",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59031,MTUD MONTEREY,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"27,190","27,190","10,921","16,269",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59032,HARRIMAN,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"18,321","18,321",550,"17,771",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59033,ROCKWOOD,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"14,793","14,793","2,319","12,474",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59034,ERPUD TULLAHOMA,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"12,214","12,214","2,373","9,841",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59035,PCUD CLINTON,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"27,190","27,727","2,887","24,840",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59036,ERPUD A E D C,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"57,980","57,980",0,"57,980",EAST TENN,007921323
INTRDY_2022-12-31_0900,12-31-2022,12-30-2022,Operational Capacity,09:00,09:00,59038,LEWISBURG,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"14,311","14,311","7,069","7,242",EAST TENN,007921323
