Cycle_Desc,Post_Date,Eff_Gas_Day,Cap_Type_Desc,Post_Time,Eff_Time,Loc,Loc_Name,Loc_Zn,Flow_Ind_Desc,Loc_Purp_Desc,Loc_QTI_Desc,Meas_Basis_Desc,IT,All_Qty_Avail,Total_Design_Capacity,Operating_Capacity,Total_Scheduled_Quantity,Operationally_Available_Capacity,TSP_Name,TSP
INTRDY_2023-02-14_0900,02-14-2023,02-13-2023,Operational Capacity,09:00,09:00,G0001,GB-128 AUGER (992100),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"381,319","381,319","70,041","311,278",GARDEN BANKS,966981599
INTRDY_2023-02-14_0900,02-14-2023,02-13-2023,Operational Capacity,09:00,09:00,G0002,GB-128 MAGNOLIA (992103),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"161,356","161,356","2,500","158,856",GARDEN BANKS,966981599
INTRDY_2023-02-14_0900,02-14-2023,02-13-2023,Operational Capacity,09:00,09:00,G0003,MAGNOLIA REDELIVERY (992110),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"3,731","3,731",0,"3,731",GARDEN BANKS,966981599
INTRDY_2023-02-14_0900,02-14-2023,02-13-2023,Operational Capacity,09:00,09:00,G0004,GB-128 ENCHILADA 992101,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"571,996","571,996","82,278","489,718",GARDEN BANKS,966981599
INTRDY_2023-02-14_0900,02-14-2023,02-13-2023,Operational Capacity,09:00,09:00,G0005,ENCHILADA REDELIVERY (992109),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"8,819","8,819",0,"8,819",GARDEN BANKS,966981599
INTRDY_2023-02-14_0900,02-14-2023,02-13-2023,Operational Capacity,09:00,09:00,G0008,GB-85 BALDPATE (992102),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,Y,Y,"240,434","240,434","10,201","230,233",GARDEN BANKS,966981599
INTRDY_2023-02-14_0900,02-14-2023,02-13-2023,Operational Capacity,09:00,09:00,G0009,SMI-205 (992112),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,Y,Y,"20,156","20,156",150,"20,006",GARDEN BANKS,966981599
INTRDY_2023-02-14_0900,02-14-2023,02-13-2023,Operational Capacity,09:00,09:00,G0010,SMI-192 (992104),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"35,570","35,570",0,"35,570",GARDEN BANKS,966981599
INTRDY_2023-02-14_0900,02-14-2023,02-13-2023,Operational Capacity,09:00,09:00,G0012,SEA ROBIN (992105),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"474,307","142,280","36,082","106,198",GARDEN BANKS,966981599
INTRDY_2023-02-14_0900,02-14-2023,02-13-2023,Operational Capacity,09:00,09:00,G0013,KINETICA ENERGY EXPRESS (992108),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"381,331","443,743","84,865","358,878",GARDEN BANKS,966981599
INTRDY_2023-02-14_0900,02-14-2023,02-13-2023,Operational Capacity,09:00,09:00,G0014,KINETICA DEEPWATER EXPRESS (992106),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,Y,Y,"160,329","160,329","34,499","125,830",GARDEN BANKS,966981599
INTRDY_2023-02-14_0900,02-14-2023,02-13-2023,Operational Capacity,09:00,09:00,G0015,TRANSCO (992107),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"381,494","443,934","6,000","437,934",GARDEN BANKS,966981599
INTRDY_2023-02-14_0900,02-14-2023,02-13-2023,Operational Capacity,09:00,09:00,G0025,BALDPATE REDELIVERY,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"8,327","8,676",0,"8,676",GARDEN BANKS,966981599

