Cycle_Desc,Post_Date,Eff_Gas_Day,Cap_Type_Desc,Post_Time,Eff_Time,Loc,Loc_Name,Loc_Zn,Flow_Ind_Desc,Loc_Purp_Desc,Loc_QTI_Desc,Meas_Basis_Desc,IT,All_Qty_Avail,Total_Design_Capacity,Operating_Capacity,Total_Scheduled_Quantity,Operationally_Available_Capacity,TSP_Name,TSP
INTRDY_2022-12-03_0900,12-03-2022,12-02-2022,Operational Capacity,09:00,09:00,30001,DRACUT INTERCONNECT - ESSEX CO. MA. (REC 30016),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"569,430","569,430",0,"569,430",M&N US,081787256
INTRDY_2022-12-03_0900,12-03-2022,12-02-2022,Operational Capacity,09:00,09:00,30002,Tennessee - Haverhill Essex Co. MA,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"88,012","88,012",0,"88,012",M&N US,081787256
INTRDY_2022-12-03_0900,12-03-2022,12-02-2022,Operational Capacity,09:00,09:00,30005,"Westbrook-Granite State ,Cumberland Co.,ME",,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"34,575","34,575",711,"33,864",M&N US,081787256
INTRDY_2022-12-03_0900,12-03-2022,12-02-2022,Operational Capacity,09:00,09:00,30007,"PSNH - Granite State Newington  ,Rockingham Co.,NH",,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"64,293","64,293",0,"64,293",M&N US,081787256
INTRDY_2022-12-03_0900,12-03-2022,12-02-2022,Operational Capacity,09:00,09:00,30009,CASCO BAY,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"146,340","146,340",0,"146,340",M&N US,081787256
INTRDY_2022-12-03_0900,12-03-2022,12-02-2022,Operational Capacity,09:00,09:00,30012,BAILYVILLE BORDER M&R (IN) - WASHINGTON CO. ME. (DEL. 30014),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"700,000","700,000",0,"700,000",M&N US,081787256
INTRDY_2022-12-03_0900,12-03-2022,12-02-2022,Operational Capacity,09:00,09:00,30014,BAILEYVILLE BORDER M&R (OUT - WASHINGTON CO. ME (REC. 30012),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,Y,Y,"700,000","700,000","172,048","527,952",M&N US,081787256
INTRDY_2022-12-03_0900,12-03-2022,12-02-2022,Operational Capacity,09:00,09:00,30017,Bangor Gas - Bucksport (Orrington),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"94,927","94,927",125,"94,802",M&N US,081787256
INTRDY_2022-12-03_0900,12-03-2022,12-02-2022,Operational Capacity,09:00,09:00,30018,BANGOR GAS - VEAZIE,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,Y,Y,"94,927","94,927","15,859","79,068",M&N US,081787256
INTRDY_2022-12-03_0900,12-03-2022,12-02-2022,Operational Capacity,09:00,09:00,30019,MAINE NATGS,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"75,000","75,000","3,900","71,100",M&N US,081787256
INTRDY_2022-12-03_0900,12-03-2022,12-02-2022,Operational Capacity,09:00,09:00,30022,Newington Power Meter Station,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"90,000","90,000",0,"90,000",M&N US,081787256
INTRDY_2022-12-03_0900,12-03-2022,12-02-2022,Operational Capacity,09:00,09:00,30023,MAINE NATGS,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"12,910","12,910","8,459","4,451",M&N US,081787256
INTRDY_2022-12-03_0900,12-03-2022,12-02-2022,Operational Capacity,09:00,09:00,30025,Beverly-Salem Essex Co. MA (Bi-Dir 30035) Flow South,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,Y,Y,"720,200","720,200","7,984","712,216",M&N US,081787256
