Cycle_Desc,Post_Date,Eff_Gas_Day,Cap_Type_Desc,Post_Time,Eff_Time,Loc,Loc_Name,Loc_Zn,Flow_Ind_Desc,Loc_Purp_Desc,Loc_QTI_Desc,Meas_Basis_Desc,IT,All_Qty_Avail,Total_Design_Capacity,Operating_Capacity,Total_Scheduled_Quantity,Operationally_Available_Capacity,TSP_Name,TSP
INTRDY_2022-11-23_0900,11-23-2022,11-22-2022,Operational Capacity,09:00,09:00,NA003,ANACONDA @ SS207 (992203),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"250,000","250,000","138,269","111,731",NAUTILUS,176824738
INTRDY_2022-11-23_0900,11-23-2022,11-22-2022,Operational Capacity,09:00,09:00,NA007,COLUMBIA GULF TRANSMISSION (992205),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"150,000","150,000",0,"150,000",NAUTILUS,176824738
INTRDY_2022-11-23_0900,11-23-2022,11-22-2022,Operational Capacity,09:00,09:00,NA008,ACADIAN ONSHORE RECEIPT (992206),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,Y,Y,"40,000","40,000","10,000","30,000",NAUTILUS,176824738
INTRDY_2022-11-23_0900,11-23-2022,11-22-2022,Operational Capacity,09:00,09:00,NA009,NEPTUNE PLANT PTR (992221),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,Y,Y,"150,000","150,000","126,761","23,239",NAUTILUS,176824738
INTRDY_2022-11-23_0900,11-23-2022,11-22-2022,Operational Capacity,09:00,09:00,NA010,ACADIAN GAS PIPELINE (992210),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,Y,Y,"335,495","335,495","32,138","303,357",NAUTILUS,176824738
INTRDY_2022-11-23_0900,11-23-2022,11-22-2022,Operational Capacity,09:00,09:00,NA011,TEXAS GAS TRANSMISSION (992208),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"319,628",0,0,0,NAUTILUS,176824738
INTRDY_2022-11-23_0900,11-23-2022,11-22-2022,Operational Capacity,09:00,09:00,NA012,EnLink LIG (992211),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"203,933","203,933",0,"203,933",NAUTILUS,176824738
INTRDY_2022-11-23_0900,11-23-2022,11-22-2022,Operational Capacity,09:00,09:00,NA013,ACADIAN GAS PIPELINE (CYPRESS),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"176,896","176,896","21,000","155,896",NAUTILUS,176824738
INTRDY_2022-11-23_0900,11-23-2022,11-22-2022,Operational Capacity,09:00,09:00,NA014,GULF SOUTH PIPELINE (992209),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"335,496","335,496","11,425","324,071",NAUTILUS,176824738
INTRDY_2022-11-23_0900,11-23-2022,11-22-2022,Operational Capacity,09:00,09:00,NA018,ANR (992212),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,Y,Y,"167,970","167,970","113,414","54,556",NAUTILUS,176824738
INTRDY_2022-11-23_0900,11-23-2022,11-22-2022,Operational Capacity,09:00,09:00,NA019,TENN 800 LEG (992213),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,Y,Y,"329,677","329,677","8,365","321,312",NAUTILUS,176824738
INTRDY_2022-11-23_0900,11-23-2022,11-22-2022,Operational Capacity,09:00,09:00,NA036,MANTA RAY @ SS207 A (992200),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"680,000","680,000","15,416","664,584",NAUTILUS,176824738
INTRDY_2022-11-23_0900,11-23-2022,11-22-2022,Operational Capacity,09:00,09:00,NA037,MANTA RAY @ SS207 B (992202),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"1,567,915","206,081","149,418","56,663",NAUTILUS,176824738

