Cycle_Desc,Post_Date,Eff_Gas_Day,Cap_Type_Desc,Post_Time,Eff_Time,Loc,Loc_Name,Loc_Zn,Flow_Ind_Desc,Loc_Purp_Desc,Loc_QTI_Desc,Meas_Basis_Desc,IT,All_Qty_Avail,Total_Design_Capacity,Operating_Capacity,Total_Scheduled_Quantity,Operationally_Available_Capacity,TSP_Name,TSP
INTRDY_2023-01-01_0900,01-01-2023,12-31-2022,Operational Capacity,09:00,09:00,83001,"CPGT - DELHI (42"" - CENTER POINT P/L).",,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"1,223,750","1,223,750","317,673","906,077",SESH,808264746
INTRDY_2023-01-01_0900,01-01-2023,12-31-2022,Operational Capacity,09:00,09:00,83002,"CPGT - Delhi (24"" - Center Point P/L)",,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"393,300","393,300","186,537","206,763",SESH,808264746
INTRDY_2023-01-01_0900,01-01-2023,12-31-2022,Operational Capacity,09:00,09:00,83003,Gulf South - Delhi,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"1,223,750","1,223,750","30,000","1,193,750",SESH,808264746
INTRDY_2023-01-01_0900,01-01-2023,12-31-2022,Operational Capacity,09:00,09:00,83004,Columbia Gulf - Delhi (Del - 83104),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"1,035,000","1,035,000",0,"1,035,000",SESH,808264746
INTRDY_2023-01-01_0900,01-01-2023,12-31-2022,Operational Capacity,09:00,09:00,83005,SESH FROM TE AT 73583,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"517,500","517,500","102,080","415,420",SESH,808264746
INTRDY_2023-01-01_0900,01-01-2023,12-31-2022,Operational Capacity,09:00,09:00,83006,Sonat - Gwenville (Del- 83106),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"514,000","514,000",0,"514,000",SESH,808264746
INTRDY_2023-01-01_0900,01-01-2023,12-31-2022,Operational Capacity,09:00,09:00,83007,Transco Collins (Del - 83107),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"258,750","258,750",0,"258,750",SESH,808264746
INTRDY_2023-01-01_0900,01-01-2023,12-31-2022,Operational Capacity,09:00,09:00,83008,TGP (Del - 83108),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"362,250","362,250","47,869","314,381",SESH,808264746
INTRDY_2023-01-01_0900,01-01-2023,12-31-2022,Operational Capacity,09:00,09:00,83009,SG Resources Mississippi L.L.C. (Del - 83109),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"436,830","474,751",0,"474,751",SESH,808264746
INTRDY_2023-01-01_0900,01-01-2023,12-31-2022,Operational Capacity,09:00,09:00,83010,FGT - Lucedale (Del - 83110,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"1,035,000","1,035,000",0,"1,035,000",SESH,808264746
INTRDY_2023-01-01_0900,01-01-2023,12-31-2022,Operational Capacity,09:00,09:00,83011,Gulf Stream - Coden (Del - 83111),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"1,035,000","1,035,000",0,"1,035,000",SESH,808264746
INTRDY_2023-01-01_0900,01-01-2023,12-31-2022,Operational Capacity,09:00,09:00,83012,Gulf South PETAL GAS STORAGE (WD),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"724,500","724,500",0,"724,500",SESH,808264746
INTRDY_2023-01-01_0900,01-01-2023,12-31-2022,Operational Capacity,09:00,09:00,83013,"Gulf Crossing, La",,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"1,260,000","1,260,000",0,"1,260,000",SESH,808264746
INTRDY_2023-01-01_0900,01-01-2023,12-31-2022,Operational Capacity,09:00,09:00,83014,"Energy Transfer/Tiger Pipeline, Richland Parish, LA",,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"1,429,781","1,429,781","321,458","1,108,323",SESH,808264746
INTRDY_2023-01-01_0900,01-01-2023,12-31-2022,Operational Capacity,09:00,09:00,83015,"MISSISSIPPI HUB-BOND GAS STORAGE, COVINGTON, MS (WD)",,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"498,376","498,376",0,"498,376",SESH,808264746
INTRDY_2023-01-01_0900,01-01-2023,12-31-2022,Operational Capacity,09:00,09:00,83101,Transco - Coden,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"310,500","310,500",0,"310,500",SESH,808264746
INTRDY_2023-01-01_0900,01-01-2023,12-31-2022,Operational Capacity,09:00,09:00,83102,FGT STA 44 (FGT Airport Road) CODEN,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"258,750","258,750",0,"258,750",SESH,808264746
INTRDY_2023-01-01_0900,01-01-2023,12-31-2022,Operational Capacity,09:00,09:00,83103,Theodore Plant - Mobile Gas Services,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"51,750","105,000","30,000","75,000",SESH,808264746
INTRDY_2023-01-01_0900,01-01-2023,12-31-2022,Operational Capacity,09:00,09:00,83104,Columbia Gulf - Delhi (REC - 83004),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"1,035,000","1,035,000",0,"1,035,000",SESH,808264746
INTRDY_2023-01-01_0900,01-01-2023,12-31-2022,Operational Capacity,09:00,09:00,83105,SESH TO TE AT 73584,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"517,500","517,500",0,"517,500",SESH,808264746
INTRDY_2023-01-01_0900,01-01-2023,12-31-2022,Operational Capacity,09:00,09:00,83106,Sonat - Gwinville (Rec - 83006),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"514,000","514,000",50,"513,950",SESH,808264746
INTRDY_2023-01-01_0900,01-01-2023,12-31-2022,Operational Capacity,09:00,09:00,83107,Transco Collins (Rec - 83007),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"517,500","517,500","52,298","465,202",SESH,808264746
