Cycle_Desc,Post_Date,Eff_Gas_Day,Cap_Type_Desc,Post_Time,Eff_Time,Loc,Loc_Name,Loc_Zn,Flow_Ind_Desc,Loc_Purp_Desc,Loc_QTI_Desc,Meas_Basis_Desc,IT,All_Qty_Avail,Total_Design_Capacity,Operating_Capacity,Total_Scheduled_Quantity,Operationally_Available_Capacity,TSP_Name,TSP
INTRDY_2023-01-31_0900,01-31-2023,01-30-2023,Operational Capacity,09:00,09:00,70004,"Dominion Energy Transmission, Inc - Clarington, OH",2,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"593,830","600,490",0,"600,490",TX EAST TRAN,007932908
INTRDY_2023-01-31_0900,01-31-2023,01-30-2023,Operational Capacity,09:00,09:00,70011,"Columbia Gas of  PA.  - Eagle, PA",3,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"291,789","444,405","151,090","293,315",TX EAST TRAN,007932908
INTRDY_2023-01-31_0900,01-31-2023,01-30-2023,Operational Capacity,09:00,09:00,70017,"Indiana Gas - Greensburg, IN",2,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"21,573","21,573","2,527","19,046",TX EAST TRAN,007932908
INTRDY_2023-01-31_0900,01-31-2023,01-30-2023,Operational Capacity,09:00,09:00,70018,"Indiana Gas - Seymour, IN",2,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"57,331","58,910",500,"58,410",TX EAST TRAN,007932908
INTRDY_2023-01-31_0900,01-31-2023,01-30-2023,Operational Capacity,09:00,09:00,70020,"Equitrans - Waynesburg, PA",2,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"5,011","5,488",0,"5,488",TX EAST TRAN,007932908
INTRDY_2023-01-31_0900,01-31-2023,01-30-2023,Operational Capacity,09:00,09:00,70030,"Philadelphia Gas Works - Point Breeze,PA",3,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"221,946","222,548","66,436","156,112",TX EAST TRAN,007932908
INTRDY_2023-01-31_0900,01-31-2023,01-30-2023,Operational Capacity,09:00,09:00,70033,"PECO Energy - Cromby Generation, PA",3,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"123,798","119,263",1,"119,262",TX EAST TRAN,007932908
INTRDY_2023-01-31_0900,01-31-2023,01-30-2023,Operational Capacity,09:00,09:00,70034,"Philadelphia Gas Works - Levick St., PA",3,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"288,841","287,378","49,176","238,202",TX EAST TRAN,007932908
INTRDY_2023-01-31_0900,01-31-2023,01-30-2023,Operational Capacity,09:00,09:00,70035,"PECO Energy - Tilghman St. - Chester, PA",3,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"249,094","249,434","12,228","237,206",TX EAST TRAN,007932908
INTRDY_2023-01-31_0900,01-31-2023,01-30-2023,Operational Capacity,09:00,09:00,70036,"PECO Energy - West Conshohocken, PA",3,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"241,034","246,546","68,105","178,441",TX EAST TRAN,007932908
INTRDY_2023-01-31_0900,01-31-2023,01-30-2023,Operational Capacity,09:00,09:00,70039,"United Cities - Harrisburg, IL",1,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"20,809","20,738","2,079","18,659",TX EAST TRAN,007932908
INTRDY_2023-01-31_0900,01-31-2023,01-30-2023,Operational Capacity,09:00,09:00,70040,"Central Il. - New Dennison, IL",1,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"63,989","63,989",0,"63,989",TX EAST TRAN,007932908
INTRDY_2023-01-31_0900,01-31-2023,01-30-2023,Operational Capacity,09:00,09:00,70041,"Columbia Gas - Lebanon, OH",2,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"234,583","239,912","125,200","114,712",TX EAST TRAN,007932908
INTRDY_2023-01-31_0900,01-31-2023,01-30-2023,Operational Capacity,09:00,09:00,70042,"Union Elec -Cape Girardeau, MO",1,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,Y,Y,"63,226","63,226","13,646","49,580",TX EAST TRAN,007932908
INTRDY_2023-01-31_0900,01-31-2023,01-30-2023,Operational Capacity,09:00,09:00,70043,"Union Electric - Dexter, MO",1,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"10,692","10,692",0,"10,692",TX EAST TRAN,007932908
