Gas Date: 2022-12-01  Cycle: INTRDY_2022-12-02_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,121,-60,
Bristol,55,-203,-294,
Calhoun,74,23,-50,
Clark Range,356,249,
Dixon Springs,377,278,
Estill Springs,163,124,
Flatwoods,118,79,-228,
Fordtown,108,-134,-239,
Gainesboro,375,277,
Glade Spring,232,-113,
Jewell Ridge,275,144,
Lewisburg,177,135,
Lobelville,112,114,
Madisonville,59,11,-62,
Maryville,33,8,-70,
Monterey,366,266,
Nora,160,94,
Ooltewah~South,157,-1,
Ooltewah,178,58,-53,
Patriot Lateral,563,53,-170,
Ridgetop,317,268,
To Roanoke,67,35,
Rural Retreat,602,28,
Topside,137,137,
Topside South,84,-31,
Tracy City,134,112,
Wartburg,329,244,
