Gas Date: 2025-11-10  Cycle: INTRDY_2025-11-10_1501
Station Name,Cap,Nom,Cap2
Bechtelsville,2829,2880,
Bernville,3014,3040,
CHJ 1-A,298,196,
Chambersburg,2058,745,
Chester Junction,381,233,
CHJ 1-A-1,84,37,
East of Eagle,469,-194,
East of Marietta Mainline,1056,373,
Grantville,3149,3084,
Heidlersburg,1965,729,
Lambertville,2506,1351,
Marietta Extension,864,328,
Leidy Line,-580,-580,
Linden,2132,1337,
Manhattan Extension,734,348,
Marietta,1957,705,
Perulack,3235,3116,
Shermansdale,3228,3115,
